date,ticker,close
2026-03-02,AAPL,194.22
2026-03-02,MSFT,423.52
2026-03-02,JPM,209.42
2026-03-02,GS,477.67
2026-03-02,SPY,555.54
2026-03-03,AAPL,193.59
2026-03-03,MSFT,430.88
2026-03-03,JPM,210.75
2026-03-03,GS,486.33
2026-03-03,SPY,557.01
2026-03-04,AAPL,195.08
2026-03-04,MSFT,432.38
2026-03-04,JPM,205.92
2026-03-04,GS,493.64
2026-03-04,SPY,559.77
2026-03-05,AAPL,196.95
2026-03-05,MSFT,421.71
2026-03-05,JPM,200.97
2026-03-05,GS,486.42
2026-03-05,SPY,557.64
2026-03-06,AAPL,198.15
2026-03-06,MSFT,421.71
2026-03-06,JPM,202.52
2026-03-06,GS,481.35
2026-03-06,SPY,559.41
2026-03-09,AAPL,199.67
2026-03-09,MSFT,417.82
2026-03-09,JPM,207.47
2026-03-09,GS,486.15
2026-03-09,SPY,565.66
2026-03-10,AAPL,197.56
2026-03-10,MSFT,413.48
2026-03-10,JPM,206.55
2026-03-10,GS,485.51
2026-03-10,SPY,569.1
2026-03-11,AAPL,198.56
2026-03-11,MSFT,410.99
2026-03-11,JPM,203.87
2026-03-11,GS,481.46
2026-03-11,SPY,575.58
2026-03-12,AAPL,195.79
2026-03-12,MSFT,412.79
2026-03-12,JPM,205.17
2026-03-12,GS,469.51
2026-03-12,SPY,576.06
2026-03-13,AAPL,200.51
2026-03-13,MSFT,400.61
2026-03-13,JPM,204.33
2026-03-13,GS,468.9
2026-03-13,SPY,572.05
2026-03-16,AAPL,202.43
2026-03-16,MSFT,400.52
2026-03-16,JPM,200.22
2026-03-16,GS,475.73
2026-03-16,SPY,575.72
2026-03-17,AAPL,206.0
2026-03-17,MSFT,409.46
2026-03-17,JPM,201.32
2026-03-17,GS,476.93
2026-03-17,SPY,569.22
2026-03-18,AAPL,208.41
2026-03-18,MSFT,405.99
2026-03-18,JPM,200.12
2026-03-18,GS,466.91
2026-03-18,SPY,564.49
2026-03-19,AAPL,206.54
2026-03-19,MSFT,414.12
2026-03-19,JPM,194.51
2026-03-19,GS,455.57
2026-03-19,SPY,565.93
2026-03-20,AAPL,212.03
2026-03-20,MSFT,418.0
2026-03-20,JPM,189.41
2026-03-20,GS,436.29
2026-03-20,SPY,567.98
2026-03-23,AAPL,209.35
2026-03-23,MSFT,411.27
2026-03-23,JPM,192.08
2026-03-23,GS,444.68
2026-03-23,SPY,569.01
2026-03-24,AAPL,210.4
2026-03-24,MSFT,414.24
2026-03-24,JPM,196.44
2026-03-24,GS,449.58
2026-03-24,SPY,571.89
2026-03-25,AAPL,212.6
2026-03-25,MSFT,404.79
2026-03-25,JPM,200.04
2026-03-25,GS,457.1
2026-03-25,SPY,574.84
2026-03-26,AAPL,205.17
2026-03-26,MSFT,401.23
2026-03-26,JPM,202.48
2026-03-26,GS,443.25
2026-03-26,SPY,574.12
2026-03-27,AAPL,209.06
2026-03-27,MSFT,393.62
2026-03-27,JPM,207.13
2026-03-27,GS,447.63
2026-03-27,SPY,573.57
2026-03-30,AAPL,210.41
2026-03-30,MSFT,397.73
2026-03-30,JPM,207.56
2026-03-30,GS,456.57
2026-03-30,SPY,570.38
2026-03-31,AAPL,208.97
2026-03-31,MSFT,404.22
2026-03-31,JPM,207.72
2026-03-31,GS,449.96
2026-03-31,SPY,575.47
2026-04-01,AAPL,214.61
2026-04-01,MSFT,401.81
2026-04-01,JPM,203.79
2026-04-01,GS,449.15
2026-04-01,SPY,574.93
2026-04-02,AAPL,213.59
2026-04-02,MSFT,410.56
2026-04-02,JPM,200.94
2026-04-02,GS,459.0
2026-04-02,SPY,568.6
2026-04-03,AAPL,210.69
2026-04-03,MSFT,414.74
2026-04-03,JPM,204.2
2026-04-03,GS,465.93
2026-04-03,SPY,570.59
2026-04-06,AAPL,211.36
2026-04-06,MSFT,415.98
2026-04-06,JPM,205.93
2026-04-06,GS,464.77
2026-04-06,SPY,572.24
2026-04-07,AAPL,213.67
2026-04-07,MSFT,416.28
2026-04-07,JPM,208.21
2026-04-07,GS,469.47
2026-04-07,SPY,582.82
2026-04-08,AAPL,215.05
2026-04-08,MSFT,413.9
2026-04-08,JPM,207.21
2026-04-08,GS,469.6
2026-04-08,SPY,587.9
2026-04-09,AAPL,213.88
2026-04-09,MSFT,416.59
2026-04-09,JPM,212.62
2026-04-09,GS,449.36
2026-04-09,SPY,582.19
2026-04-10,AAPL,214.95
2026-04-10,MSFT,419.37
2026-04-10,JPM,213.42
2026-04-10,GS,446.29
2026-04-10,SPY,585.86
2026-04-13,AAPL,216.17
2026-04-13,MSFT,416.38
2026-04-13,JPM,220.77
2026-04-13,GS,449.21
2026-04-13,SPY,583.17
2026-04-14,AAPL,215.91
2026-04-14,MSFT,415.26
2026-04-14,JPM,220.66
2026-04-14,GS,428.6
2026-04-14,SPY,580.85
